iter	Passed	Remaining
0	183	169570
1	372	172351
2	527	162574
3	694	160282
4	868	160189
5	1059	162613
6	1223	160843
7	1439	165366
8	1680	171459
9	1834	168255
10	1996	166248
11	2134	162788
12	2288	160906
13	2388	155754
14	2530	153856
15	2709	154263
16	2934	157093
17	3065	154818
18	3223	154032
19	3384	153476
20	3503	151135
21	3646	150021
22	3805	149557
23	3947	148524
24	4081	147255
25	4259	147616
26	4431	147709
27	4611	148054
28	4753	147197
29	4914	146947
30	5064	146388
31	5184	145015
32	5355	145072
33	5514	144845
34	5659	144238
35	5805	143679
36	5921	142428
37	6071	142049
38	6232	141899
39	6384	141584
40	6531	141138
41	6671	140569
42	6791	139618
43	6959	139657
44	7128	139720
45	7301	139847
46	7467	139819
47	7555	138358
48	7719	138323
49	7878	138186
50	8036	138033
51	8200	137990
52	8378	138165
53	8549	138220
54	8703	137985
55	8865	137884
56	9022	137706
57	9174	137460
58	9322	137158
59	9477	136956
60	9629	136701
61	9762	136202
62	9934	136245
63	10087	136020
64	10229	135658
65	10371	135303
66	10528	135136
67	10648	134519
68	10792	134200
69	10919	133685
70	11051	133239
71	11196	132964
72	11358	132875
73	11501	132582
74	11649	132341
75	11777	131880
76	11921	131606
77	12066	131337
78	12207	131041
79	12343	130685
80	12465	130195
81	12625	130102
82	12774	129902
83	12932	129789
84	13085	129622
85	13222	129300
86	13341	128813
87	13452	128254
88	13571	127786
89	13687	127294
90	13823	126995
91	13966	126756
92	14115	126580
93	14247	126254
94	14402	126138
95	14534	125814
96	14656	125412
97	14774	124983
98	14887	124512
99	15022	124236
100	15147	123883
101	15277	123571
102	15413	123308
103	15543	123000
104	15664	122627
105	15806	122422
106	15947	122212
107	16090	122016
108	16226	121776
109	16360	121513
110	16478	121137
111	16610	120870
112	16728	120506
113	16873	120333
114	17016	120149
115	17159	119966
116	17275	119597
117	17399	119292
118	17523	118983
119	17643	118655
120	17775	118404
121	17917	118225
122	18049	117983
123	18187	117779
124	18307	117462
125	18431	117171
126	18559	116911
127	18697	116712
128	18834	116511
129	18943	116140
130	19093	116018
131	19230	115822
132	19356	115557
133	19491	115347
134	19645	115253
135	19808	115207
136	19962	115113
137	20091	114871
138	20214	114599
139	20343	114356
140	20470	114114
141	20604	113904
142	20736	113688
143	20856	113408
144	20982	113161
145	21140	113087
146	21278	112907
147	21431	112805
148	21555	112553
149	21719	112505
150	21835	112215
151	21953	111933
152	22098	111792
153	22217	111519
154	22415	111643
155	22658	111983
156	22872	112178
157	23052	112198
158	23286	112477
159	23461	112470
160	23677	112651
161	23902	112872
